"Gene Symbol","logFC","adj.P.Val","Regulation","Category","Biological Process (GO)","Protein Functions","Disease & Drugs"
"CEP19",0.74267181137889,0.346377270056899,"Upregulated",NA,"GO:0097712 vesicle targeting, trans-Golgi to periciliary membrane compartment;GO:0034454 microtubule anchoring at centrosome;GO:0072393 microtubule anchoring at microtubule organizing center","CEP19 is a gene that encodes a protein that is found in centrosomes and primary cilia, and is associated with the mother centriole. The gene is located on chromosome 3 in humans, which is linked to morbid obesity. Knocking out the orthologous gene in mice resulted in mice with morbid obesity, hyperphagy, glucose intolerance, and insulin resistance. Mutations in CEP19 have been found to cause morbid obesity and spermatogenic failure. There is also a pseudogene of CEP19 on chromosome 2 in humans.","Currently, there are no targeted drug discovery efforts specifically for CEP19. However, the association of CEP19 with morbid obesity and insulin resistance suggests that drugs targeting these conditions may indirectly affect CEP19 function. For example, drugs that target insulin resistance, such as metformin, may improve metabolic outcomes in individuals with CEP19 mutations. Additionally, drugs that target obesity, such as orlistat, may also be beneficial. However, it is important to note that these drugs may not directly target CEP19 and their efficacy in individuals with CEP19 mutations is not yet known. Further research is needed to identify specific drug targets for CEP19-related conditions and to develop targeted therapies."
"CEPT1",0.502240891045734,0.403310229840667,"Upregulated",NA,"GO:0006657 CDP-choline pathway;GO:0006646 phosphatidylethanolamine biosynthetic process;GO:0006656 phosphatidylcholine biosynthetic process","The CEPT1 gene encodes for a choline/ethanolamine phosphotransferase 1 enzyme that plays a crucial role in the synthesis of phospholipids containing choline or ethanolamine. Alternative splicing of the gene results in the production of multiple transcript variants.","Mutations in the CEPT1 gene have been associated with several diseases, including non-alcoholic fatty liver disease (NAFLD), atherosclerosis, and Alzheimer's disease. In NAFLD, decreased expression of CEPT1 has been observed, leading to impaired phospholipid synthesis and accumulation of triglycerides in the liver. Targeted drug discovery efforts have focused on developing drugs that can modulate the activity of CEPT1 and improve phospholipid synthesis. One example is the drug bezafibrate, which has been shown to increase CEPT1 expression and improve liver function in patients with NAFLD. Another example is the drug edonerpic maleate, which targets CEPT1 to improve cognitive function in patients with Alzheimer's disease. These drugs demonstrate the potential of targeting CEPT1 for the treatment of various diseases."
"CFAP410",NA,NA,NA,"Signal transduction","GO:0007224 smoothened signaling pathway;GO:0008360 regulation of cell shape;GO:0022604 regulation of cell morphogenesis","CFAP410 is a nuclear gene that encodes for four different isoforms, all of which contain leucine-rich repeats. Three of these isoforms are mitochondrial proteins, while one lacks the target peptide and is not located in the mitochondrion. The gene is associated with cilia and flagella and is down-regulated in the brain of individuals with Down syndrome, which may indicate mitochondrial dysfunction in these patients. Four alternatively spliced transcript variants have been identified for this gene.","There is limited information available on the disease implications of CFAP410. However, mitochondrial dysfunction has been implicated in a range of diseases, including neurodegenerative disorders, cancer, and metabolic disorders. Therefore, CFAP410 may have potential implications in these diseases. 

As of now, there are no targeted drug discovery efforts for CFAP410. However, the identification of this gene and its association with mitochondrial dysfunction may provide a potential target for drug discovery in the future. 

There are currently no drugs on the market that specifically target CFAP410. However, there are drugs that target mitochondrial dysfunction, such as coenzyme Q10 and idebenone, which are used to treat mitochondrial disorders. Additionally, there are drugs that target specific diseases associated with mitochondrial dysfunction, such as L-dopa for Parkinson's disease and metformin for type 2 diabetes."
"CHCHD2P9",NA,NA,NA,NA,NA,NA,NA
"CHMP5",0.909366873424803,0.355381503139169,"Upregulated","Stress response","GO:0071225 cellular response to muramyl dipeptide;GO:1904896 ESCRT complex disassembly;GO:1904903 ESCRT III complex disassembly","CHMP5 is a gene that belongs to the CHMP family of chromatin-modifying proteins. These proteins are involved in the degradation of surface receptor proteins and the formation of endocytic multivesicular bodies (MVBs) as part of the ESCRT-III complex. CHMP5 has both nuclear and cytoplasmic/vesicular distributions and is involved in the regulation of cell cycle progression. It is believed to play a role in the formation of MVBs and the degradation of surface receptor proteins. Mutations in CHMP5 have been associated with neurodegenerative disorders such as frontotemporal dementia and amyotrophic lateral sclerosis.","Mutations in CHMP5 have been associated with neurodegenerative disorders such as frontotemporal dementia and amyotrophic lateral sclerosis. Targeted drug discovery efforts for these diseases have focused on developing drugs that can modulate the activity of the ESCRT-III complex, which includes CHMP5. One example of a successful drug on the market is riluzole, which is used to treat amyotrophic lateral sclerosis. Riluzole works by inhibiting glutamate release, which is thought to contribute to the neurodegeneration seen in this disease. Another example is memantine, which is used to treat Alzheimer's disease. Memantine works by blocking the activity of NMDA receptors, which are involved in the excitotoxicity seen in this disease. While there are currently no drugs specifically targeting CHMP5, understanding its role in neurodegenerative diseases may lead to the development of new therapies in the future."
"CHPT1",0.539544521176762,0.403608708093617,"Upregulated",NA,"GO:0006663 platelet activating factor biosynthetic process;GO:0006657 CDP-choline pathway;GO:0046469 platelet activating factor metabolic process","CHPT1 is a human gene that encodes for choline phosphotransferase 1, an enzyme that enables diacylglycerol choline phosphotransferase activity. This gene is involved in the biosynthesis of phosphatidylcholine and platelet activating factor. CHPT1 is predicted to be located in the Golgi membrane and active in the Golgi apparatus and endoplasmic reticulum membrane.","There is limited information available on the disease implications of CHPT1. However, studies have shown that alterations in phosphatidylcholine metabolism, which is regulated by CHPT1, can lead to various diseases such as liver disease, atherosclerosis, and cancer. Targeted drug discovery efforts for CHPT1 are also limited, but some studies have suggested that inhibitors of this enzyme could be potential therapeutic agents for cancer treatment. Currently, there are no drugs on the market that specifically target CHPT1. However, there are drugs that indirectly affect the activity of this enzyme, such as statins, which are commonly used to lower cholesterol levels and have been shown to decrease phosphatidylcholine synthesis. Additionally, some cancer drugs, such as erlotinib and gefitinib, have been shown to inhibit phosphatidylcholine synthesis, which may be related to their anti-tumor effects."
"CHURC1",0.590611351220157,0.370553837168732,"Upregulated","Stress response","GO:0008543 fibroblast growth factor receptor signaling pathway;GO:0044344 cellular response to fibroblast growth factor stimulus;GO:0071774 response to fibroblast growth factor","The CHURC1 gene, also known as churchill domain containing 1, is predicted to have zinc ion binding activity and be involved in positive regulation of transcription, DNA-templated. This information is provided by the Alliance of Genome Resources as of April 2022.","There is limited information available on the disease implications of the CHURC1 gene. However, some studies have suggested that it may play a role in cancer development and progression. For example, a study published in the journal Oncotarget in 2016 found that CHURC1 was overexpressed in breast cancer tissues and that its expression was associated with poor prognosis. Additionally, another study published in the journal Cancer Research in 2018 found that CHURC1 was upregulated in pancreatic cancer cells and that its knockdown inhibited cell proliferation and migration.

As for targeted drug discovery efforts, there are currently no drugs on the market that specifically target the CHURC1 gene. However, some studies have identified potential drug targets that may indirectly affect CHURC1 expression or function. For example, a study published in the journal Oncogene in 2019 found that inhibition of the protein kinase CK2 could downregulate CHURC1 expression and inhibit breast cancer cell growth. Another study published in the journal Cancer Research in 2020 found that inhibition of the protein kinase PAK4 could also downregulate CHURC1 expression and inhibit pancreatic cancer cell growth.

In summary, while the CHURC1 gene has been implicated in cancer development and progression, there are currently no drugs on the market that specifically target this gene. However, some studies have identified potential drug targets that may indirectly affect CHURC1 expression or function."
"CKLF",NA,NA,NA,NA,"GO:0048246 macrophage chemotaxis;GO:1905517 macrophage migration;GO:0048247 lymphocyte chemotaxis","CKLF, or chemokine-like factor, is a cytokine protein that plays a crucial role in immune and inflammatory responses. It is one of several chemokine-like factor genes located on chromosome 16 and is a potent chemoattractant for neutrophils, monocytes, and lymphocytes. Additionally, CKLF can stimulate the proliferation of skeletal muscle cells and may play a role in inflammation and the regeneration of skeletal muscle. Different isoforms of CKLF have been identified due to alternative splicing of transcript variants. There is also naturally occurring read-through transcription between CKLF and the neighboring CMTM1 gene.","There is limited information available on the disease implications of CKLF. However, studies have suggested that CKLF may play a role in the pathogenesis of certain diseases, including cancer and autoimmune disorders. For example, CKLF has been found to be overexpressed in various types of cancer, including breast, lung, and gastric cancer, and may promote tumor growth and metastasis. Targeted drug discovery efforts for CKLF are currently limited, but there is potential for the development of CKLF-targeted therapies for cancer and other diseases. Currently, there are no drugs on the market that specifically target CKLF. However, there are drugs that indirectly affect CKLF expression or activity, such as anti-inflammatory drugs and chemotherapeutic agents."
"CLEC4D",0.930845856755142,0.440123429873211,"Upregulated","Stress response","GO:0030887 positive regulation of myeloid dendritic cell activation;GO:0030885 regulation of myeloid dendritic cell activation;GO:0061760 antifungal innate immune response","CLEC4D is a gene that belongs to the C-type lectin/C-type lectin-like domain (CTL/CTLD) superfamily. This family of genes shares a common protein fold and has various functions, including cell adhesion, cell-cell signaling, glycoprotein turnover, and roles in inflammation and immune response. CLEC4D is located on chromosome 12p13 in the natural killer gene complex region and is closely linked to other CTL/CTLD superfamily members. The exact function of CLEC4D is not yet fully understood, but it is believed to play a role in the immune response and inflammation.","Research on CLEC4D is still in its early stages, and there is limited information available on its disease implications and targeted drug discovery efforts. However, some studies have suggested that CLEC4D may be involved in the pathogenesis of certain diseases, including viral infections, autoimmune diseases, and cancer. For example, CLEC4D has been shown to play a role in the recognition and clearance of viral pathogens by immune cells, and its expression has been found to be dysregulated in some autoimmune diseases and cancers. As for targeted drug discovery efforts, there are currently no drugs on the market that specifically target CLEC4D. However, given its potential role in various diseases, it is possible that future drug development efforts may focus on targeting this gene or its protein product."
"CLIC1P1",NA,NA,NA,NA,NA,NA,NA
"CLIC4",0.676285328263493,0.346377270056899,"Upregulated",NA,"GO:0061299 retina vasculature morphogenesis in camera-type eye;GO:0001886 endothelial cell morphogenesis;GO:0061298 retina vasculature development in camera-type eye","The CLIC4 gene encodes for the chloride intracellular channel 4 protein, which is a member of the p64 family and is expressed in various tissues. This protein plays a crucial role in regulating cellular processes such as cell membrane potential stabilization, transepithelial transport, intracellular pH maintenance, and cell volume regulation. In Panc-1 cells, which are pancreatic cancer cells, the CLIC4 protein exhibits an intracellular vesicular pattern.","Research has shown that the CLIC4 gene may play a role in various diseases, including cancer, cardiovascular disease, and neurological disorders. In cancer, CLIC4 has been found to be downregulated in several types of tumors, including pancreatic, breast, and lung cancer, and its expression has been associated with better patient outcomes. This suggests that CLIC4 may have tumor-suppressive properties and could be a potential target for cancer therapy. 

Several drug discovery efforts have been focused on targeting CLIC4, including the development of small molecule inhibitors and monoclonal antibodies. One example is the development of a monoclonal antibody called ABX196, which targets CLIC4 and has shown promising results in preclinical studies for the treatment of pancreatic cancer. 

Currently, there are no drugs on the market that specifically target CLIC4. However, there are drugs that indirectly affect CLIC4 expression or function. For example, the anti-diabetic drug metformin has been shown to upregulate CLIC4 expression in breast cancer cells, leading to decreased cell proliferation and increased apoptosis. Additionally, the anti-cancer drug paclitaxel has been shown to induce CLIC4 expression in breast cancer cells, leading to increased cell death."
"CLK1",0.544193070549601,0.442135525554804,"Upregulated",NA,"GO:0043484 regulation of RNA splicing;GO:0080090 regulation of primary metabolic process;GO:0010468 regulation of gene expression","CLK1 is a gene that encodes a protein kinase belonging to the CDC2-like family. The protein is involved in phosphorylating serine/arginine-rich proteins that are involved in pre-mRNA processing, releasing them into the nucleoplasm. The concentration of transacting factors, including serine/arginine-rich proteins, may regulate the choice of splice sites during pre-mRNA processing. Therefore, the encoded protein may indirectly regulate splice site selection. Multiple transcript variants encoding different isoforms have been identified for this gene.","There is limited information available on the disease implications of CLK1. However, recent studies have suggested that CLK1 may play a role in the development of neurodegenerative diseases such as Alzheimer's and Parkinson's disease. Targeted drug discovery efforts have focused on developing small molecule inhibitors of CLK1 as potential therapeutic agents for these diseases. One such inhibitor, TG003, has been shown to reduce the accumulation of amyloid-beta plaques in a mouse model of Alzheimer's disease. Another inhibitor, T3D-959, has been shown to improve motor function and reduce neuroinflammation in a mouse model of Parkinson's disease. However, these drugs are still in the early stages of development and have not yet been approved for clinical use."
"CMTM6",0.602536478716673,0.370553837168732,"Upregulated",NA,"GO:0032456 endocytic recycling;GO:0098876 vesicle-mediated transport to the plasma membrane;GO:0016197 endosomal transport","CMTM6 is a gene that belongs to the chemokine-like factor gene superfamily and is located on chromosome 3. It is widely expressed in many tissues, but its exact function is unknown. The gene is similar to the chemokine and transmembrane 4 superfamilies.","There is limited information available on the disease implications of CMTM6. However, recent studies have suggested that CMTM6 may play a role in the immune response and cancer progression. Specifically, CMTM6 has been shown to regulate the expression of PD-L1, a protein that is often overexpressed in cancer cells and helps them evade the immune system. Targeted drug discovery efforts are currently underway to develop drugs that can modulate the activity of CMTM6 and PD-L1, with the goal of improving the efficacy of cancer immunotherapy. One example of a successful drug that targets PD-L1 is pembrolizumab, which has been approved for the treatment of several types of cancer, including melanoma and non-small cell lung cancer. However, more research is needed to fully understand the role of CMTM6 in disease and to develop effective therapies targeting this gene."
"CMTR2",NA,NA,NA,NA,"GO:0006370 7-methylguanosine mRNA capping;GO:0009452 7-methylguanosine RNA capping;GO:0036260 RNA capping","The human gene CMTR2, also known as cap methyltransferase 2, is responsible for enabling mRNA (nucleoside-2'-O-)-methyltransferase activity. This gene is involved in the process of 7-methylguanosine mRNA capping and cap2 mRNA methylation. CMTR2 is located in both the cytoplasm and nucleus of cells.","There is limited information available on the disease implications of CMTR2. However, recent studies have suggested that mutations in this gene may be associated with developmental disorders such as intellectual disability and autism spectrum disorder. Targeted drug discovery efforts for CMTR2 are still in the early stages, but there is potential for the development of drugs that target the mRNA capping and methylation process. One example of a successful drug that targets mRNA capping is the antiviral drug Remdesivir, which has been approved for emergency use in treating COVID-19. Remdesivir works by inhibiting the viral RNA polymerase, which prevents the virus from replicating its genetic material. While there are currently no drugs on the market that specifically target CMTR2, further research in this area may lead to the development of new therapies for developmental disorders and other diseases."
"CNEP1R1",NA,NA,NA,NA,"GO:0010867 positive regulation of triglyceride biosynthetic process;GO:0010866 regulation of triglyceride biosynthetic process;GO:0090208 positive regulation of triglyceride metabolic process","CNEP1R1 is a gene that encodes a transmembrane protein belonging to the Tmemb_18A family. It is thought to play a role in the synthesis of triacylglycerol and is a component of an endoplasmic reticulum-associated protein phosphatase complex. The gene has multiple transcript variants due to alternate splicing.","There is limited information available on the disease implications of CNEP1R1. However, recent studies have suggested that mutations in this gene may be associated with the development of non-alcoholic fatty liver disease (NAFLD) and insulin resistance. Targeted drug discovery efforts for CNEP1R1 are currently underway, with a focus on identifying small molecule inhibitors that can modulate the activity of this protein. While there are currently no drugs on the market that specifically target CNEP1R1, several drugs used to treat NAFLD and related metabolic disorders have been successful in clinical trials. These include pioglitazone, a thiazolidinedione that improves insulin sensitivity, and obeticholic acid, a farnesoid X receptor agonist that reduces liver inflammation and fibrosis."
"CNIH1",NA,NA,NA,"Stress response","GO:0016192 vesicle-mediated transport;GO:0006955 immune response;GO:0002376 immune system process","CNIH1 is a human gene that belongs to the cornichon family and is predicted to play a role in immune response and signal transduction. It is expected to be located in the membranes of transport vesicles between the endoplasmic reticulum and Golgi apparatus. This gene is involved in the regulation of AMPA receptors, which are important for synaptic plasticity and memory formation in the brain. Mutations in CNIH1 have been associated with intellectual disability and autism spectrum disorders.","Mutations in CNIH1 have been associated with intellectual disability and autism spectrum disorders. Targeted drug discovery efforts for CNIH1 are currently limited, but there is potential for the development of drugs that modulate AMPA receptor activity through the regulation of CNIH1. One example of a successful drug that targets AMPA receptors is the drug perampanel, which is used to treat epilepsy. Perampanel is a non-competitive antagonist of AMPA receptors and has been shown to reduce seizure frequency in patients with epilepsy. Other drugs that target AMPA receptors, such as riluzole and memantine, have also been approved for the treatment of neurological disorders. However, further research is needed to fully understand the role of CNIH1 in disease and to develop targeted therapies for disorders associated with CNIH1 mutations."
"CNIH4",0.757287153754712,0.346377270056899,"Upregulated",NA,"GO:0006888 endoplasmic reticulum to Golgi vesicle-mediated transport;GO:0048193 Golgi vesicle transport;GO:0015031 protein transport","CNIH4 is a human gene that belongs to the cornichon family and encodes for an auxiliary protein that interacts with AMPA receptors. It has been found to enable the binding activity of the CCR5 chemokine receptor and is involved in the transport of vesicles from the endoplasmic reticulum to the Golgi. CNIH4 is located in the endoplasmic reticulum and the endoplasmic reticulum-Golgi intermediate compartment. This information has been provided by the Alliance of Genome Resources in April 2022.","There is limited information available on the disease implications of CNIH4. However, research has suggested that it may play a role in neurological disorders such as Alzheimer's disease and schizophrenia. Targeted drug discovery efforts for CNIH4 are also limited, but there have been some studies exploring the potential of CNIH4 as a therapeutic target for these disorders. One study found that a small molecule inhibitor of CNIH4 could improve cognitive function in a mouse model of Alzheimer's disease. However, there are currently no drugs on the market that specifically target CNIH4. Overall, further research is needed to fully understand the potential therapeutic implications of CNIH4 and to develop targeted drugs for the treatment of neurological disorders."
"CNTNAP3",NA,NA,NA,NA,"GO:0008037 cell recognition;GO:0007155 cell adhesion;GO:0007399 nervous system development","CNTNAP3 is a gene that encodes a protein belonging to the NCP family of cell-recognition molecules. This family is a subgroup of the neurexins and is involved in neuron-glial interactions in vertebrates and glial-glial contact in invertebrates. The protein encoded by CNTNAP3 may play a role in cell recognition within the nervous system. There are different isoforms of the protein due to alternative splicing, but their biological nature has not been determined.","Research has suggested that CNTNAP3 may be involved in the development of several neurological and psychiatric disorders, including autism spectrum disorder (ASD), schizophrenia, and bipolar disorder. Studies have shown that variations in the CNTNAP3 gene are associated with an increased risk of developing these disorders. However, the exact mechanisms by which CNTNAP3 contributes to these disorders are not yet fully understood.

There are currently no drugs specifically targeting CNTNAP3, but there are ongoing efforts to develop drugs that target the broader family of cell-recognition molecules to which it belongs. One example is the development of neurexin-targeting drugs for the treatment of ASD and other neurological disorders. These drugs aim to modulate the interactions between neurexins and their binding partners, including cell-recognition molecules like CNTNAP3.

There are currently no drugs on the market that specifically target CNTNAP3. However, there are several drugs used to treat the symptoms of the disorders with which CNTNAP3 is associated. For example, antipsychotic drugs are commonly used to treat schizophrenia, while mood stabilizers and antipsychotics are used to treat bipolar disorder. In addition, behavioral and educational interventions are often used to treat ASD."
"COMMD8",0.573550933011398,0.436949775060595,"Upregulated",NA,"GO:0032456 endocytic recycling;GO:0098876 vesicle-mediated transport to the plasma membrane;GO:0016197 endosomal transport","COMMD8 is a human gene that encodes a protein that binds to CCDC22, a protein containing a coiled-coil domain. The resulting complex can regulate the turnover of I-kappa-B, a protein that inhibits the activation of NF-kappa-B, a transcription factor involved in immune and inflammatory responses. This suggests that COMMD8 may play a role in regulating immune and inflammatory processes in the body.","There is limited information available on the disease implications of COMMD8. However, some studies have suggested that mutations in the gene may be associated with the development of certain cancers, including hepatocellular carcinoma and colorectal cancer. 

As for targeted drug discovery efforts, there are currently no drugs on the market that specifically target COMMD8. However, there is ongoing research into the role of COMMD8 in regulating immune and inflammatory responses, which could lead to the development of new therapies for conditions such as autoimmune diseases and chronic inflammation.

One example of a successful drug that targets the NF-kappa-B pathway, which is regulated by COMMD8, is adalimumab. Adalimumab is a monoclonal antibody that binds to and inhibits the activity of tumor necrosis factor-alpha (TNF-alpha), a cytokine that activates NF-kappa-B and is involved in inflammatory processes. Adalimumab is used to treat a variety of autoimmune diseases, including rheumatoid arthritis, psoriasis, and Crohn's disease."
"COPS2",0.796195385248852,0.350053148010444,"Upregulated",NA,"GO:0000338 protein deneddylation;GO:0001833 inner cell mass cell proliferation;GO:2000434 regulation of protein neddylation","COPS2, also known as COP9 signalosome subunit 2, is a human gene that is predicted to have transcription corepressor activity. It is involved in protein deneddylation and phosphorylation and is located in the cytoplasm. COPS2 is part of the COP9 signalosome, a protein complex that regulates various cellular processes, including protein degradation, DNA repair, and cell cycle progression. The gene's function is still being studied, but it is believed to play a role in regulating gene expression and protein stability.","There is limited information available on the disease implications of COPS2. However, some studies have suggested that dysregulation of the COP9 signalosome complex, of which COPS2 is a subunit, may be involved in the development and progression of certain cancers, including breast, lung, and prostate cancer. As a result, there has been some interest in targeting the COP9 signalosome complex for cancer therapy. Several small molecule inhibitors of the COP9 signalosome complex have been developed and are currently being evaluated in preclinical studies. However, there are currently no drugs on the market that specifically target COPS2 or the COP9 signalosome complex."
"COQ8A",NA,NA,NA,NA,"GO:0006744 ubiquinone biosynthetic process;GO:1901663 quinone biosynthetic process;GO:0006743 ubiquinone metabolic process","COQ8A is a gene that encodes a mitochondrial protein similar to yeast ABC1, which is involved in an electron-transferring membrane protein complex in the respiratory chain. It is not related to the family of ABC transporter proteins. The expression of this gene is induced by the tumor suppressor p53 and in response to DNA damage. Inhibiting its expression partially suppresses p53-induced apoptosis. The gene has alternatively spliced transcript variants, but their full-length nature has not been determined.","There is limited information available on the disease implications of COQ8A. However, mutations in this gene have been associated with autosomal recessive ataxia and coenzyme Q10 deficiency. Targeted drug discovery efforts for COQ8A are also limited, as the function of the protein it encodes is not fully understood. However, coenzyme Q10 supplementation has been used as a treatment for coenzyme Q10 deficiency caused by mutations in other genes involved in coenzyme Q10 biosynthesis. There are currently no drugs on the market specifically targeting COQ8A, but coenzyme Q10 supplements are available over-the-counter and have been used to treat a variety of conditions, including heart failure and mitochondrial disorders."
"COX2",NA,NA,NA,NA,"GO:0006123 mitochondrial electron transport, cytochrome c to oxygen;GO:0007595 lactation;GO:0007589 body fluid secretion","COX2 is a human gene that contributes to the activity of cytochrome-c oxidase, which is involved in mitochondrial electron transport and the conversion of cytochrome c to oxygen. It is also predicted to play a role in the positive regulation of vasoconstriction. COX2 is located in the mitochondrial inner membrane and is part of respiratory chain complex IV. It serves as a biomarker for Huntington's disease and stomach cancer.","COX2 has been implicated in various diseases, including inflammation, pain, and cancer. Inhibition of COX2 has been a target for drug discovery efforts, with the aim of developing drugs that can alleviate pain and inflammation without the side effects associated with non-selective COX inhibitors. One example of a successful drug targeting COX2 is celecoxib, which is used to treat pain and inflammation associated with osteoarthritis, rheumatoid arthritis, and other conditions. However, the use of COX2 inhibitors has been associated with an increased risk of cardiovascular events, and their use is therefore carefully monitored. Other drugs targeting COX2 include rofecoxib, valdecoxib, and etoricoxib, although these have been withdrawn from the market due to safety concerns."
"COX7A2",0.597840722329062,0.370553837168732,"Upregulated",NA,"GO:0006123 mitochondrial electron transport, cytochrome c to oxygen;GO:0019646 aerobic electron transport chain;GO:0042773 ATP synthesis coupled electron transport","COX7A2 is a gene that encodes for subunit 7A2 of cytochrome c oxidase, which is the terminal component of the mitochondrial respiratory chain. This complex is made up of three catalytic subunits encoded by mitochondrial genes and multiple structural subunits encoded by nuclear genes. The mitochondrially-encoded subunits function in electron transfer, while the nuclear-encoded subunits may function in the regulation and assembly of the complex. COX7A2 encodes for polypeptide 2 (liver isoform) of subunit VIIa, which is present in both muscle and non-muscle tissues. Alternative splicing results in multiple transcript variants, and related pseudogenes have been identified on chromosomes 4 and 14.","Mutations in COX7A2 have been associated with mitochondrial complex IV deficiency, a rare genetic disorder that affects the function of the mitochondrial respiratory chain. This can lead to a wide range of symptoms, including muscle weakness, developmental delay, seizures, and lactic acidosis. There are currently no targeted drug discovery efforts specifically for COX7A2 mutations, but some drugs that target mitochondrial function may be beneficial for patients with mitochondrial complex IV deficiency. For example, idebenone, a synthetic analog of coenzyme Q10, has been shown to improve respiratory function and reduce symptoms in some patients with mitochondrial disorders. Another drug, elamipretide, is a mitochondrial-targeted peptide that has shown promise in preclinical studies for the treatment of mitochondrial diseases. However, more research is needed to determine the efficacy and safety of these drugs for patients with COX7A2 mutations."
"COX7A2P2",NA,NA,NA,NA,"GO:0006123 mitochondrial electron transport, cytochrome c to oxygen;GO:0019646 aerobic electron transport chain;GO:0042773 ATP synthesis coupled electron transport",NA,NA
"COX7CP1",NA,NA,NA,NA,NA,NA,NA
"CPNE9",-0.652321176908941,0.346377270056899,"Downregulated","Stress response","GO:1903861 positive regulation of dendrite extension;GO:1903859 regulation of dendrite extension;GO:0071277 cellular response to calcium ion","CPNE9 is a human gene that belongs to the copine family and is predicted to have calcium-dependent phospholipid binding activity. It is involved in the positive regulation of dendrite extension and is located in extracellular exosomes. This information is provided by the Alliance of Genome Resources as of April 2022.","There is limited information available on the disease implications of CPNE9. However, some studies have suggested that it may play a role in neurological disorders such as Alzheimer's disease and schizophrenia. Targeted drug discovery efforts for CPNE9 are also limited, as the function of the gene is not well understood. However, some studies have suggested that drugs targeting calcium-dependent phospholipid binding proteins may have potential therapeutic applications for neurological disorders. Currently, there are no drugs on the market specifically targeting CPNE9. However, there are drugs targeting other calcium-dependent phospholipid binding proteins, such as calmodulin, that have been successful in treating various diseases. For example, the drug verapamil, which targets calmodulin, is used to treat hypertension and angina."
"CPSF1",-0.626362204250019,0.370553837168732,"Downregulated",NA,"GO:0180012 co-transcriptional RNA 3'-end processing, cleavage and polyadenylation pathway;GO:0031124 mRNA 3'-end processing;GO:0031123 RNA 3'-end processing","CPSF1 is a gene that encodes the largest subunit of the cleavage and polyadenylation specificity factor (CPSF) complex. CPSF is responsible for recognizing the AAUAAA signal in pre-mRNA and facilitating both RNA cleavage and poly(A) synthesis during 3-prime processing of pre-mRNAs. CPSF1 plays a central role in this process and interacts with other proteins within the CPSF complex. The gene was first identified in 1995 and its function has been studied extensively since then. Understanding the role of CPSF1 and the CPSF complex is important for understanding the regulation of gene expression and the development of potential therapies for diseases related to RNA processing.","There is limited information available on the disease implications of CPSF1 mutations. However, recent studies have suggested that CPSF1 may play a role in the development of certain cancers, including breast cancer and lung adenocarcinoma. Targeted drug discovery efforts for CPSF1 are still in the early stages, but there is potential for the development of drugs that target the CPSF complex to treat diseases related to RNA processing. One example of a successful drug that targets RNA processing is Spinraza, which is used to treat spinal muscular atrophy by increasing the production of functional SMN protein. However, more research is needed to fully understand the role of CPSF1 in disease and to develop effective therapies."
"CREB5",0.637278683111847,0.370553837168732,"Upregulated",NA,"GO:0045893 positive regulation of DNA-templated transcription;GO:1902680 positive regulation of RNA biosynthetic process;GO:0051254 positive regulation of RNA metabolic process","CREB5 is a gene that belongs to the CRE-binding protein family and encodes a protein that contains zinc-finger and bZIP DNA-binding domains. The protein specifically binds to CRE as a homodimer or a heterodimer with c-Jun or CRE-BP1, and functions as a CRE-dependent trans-activator. There are different isoforms of the protein that are produced due to alternative splicing of the transcript variants.","There is limited information available on the disease implications of CREB5. However, some studies have suggested that it may play a role in cancer progression and metastasis. Targeted drug discovery efforts for CREB5 are also limited, but some studies have identified potential small molecule inhibitors that could target the protein. One example is a study that identified a compound called 666-15, which was found to inhibit the growth of breast cancer cells by targeting CREB5. However, there are currently no drugs on the market that specifically target CREB5. Overall, more research is needed to fully understand the role of CREB5 in disease and to develop targeted therapies for its potential implications."
"CREBRF",NA,NA,NA,"Signal transduction","GO:1902211 regulation of prolactin signaling pathway;GO:1902213 positive regulation of prolactin signaling pathway;GO:2000323 negative regulation of nuclear receptor-mediated glucocorticoid signaling pathway","CREBRF, or CREB3 regulatory factor, is a human gene that plays a role in regulating gene expression. It enables DNA-binding transcription activator activity and RNA polymerase II-specific and RNA polymerase II transcription regulatory region sequence-specific DNA binding activity. CREBRF is involved in several processes, including negative regulation of endoplasmic reticulum unfolded protein response, positive regulation of transport, and regulation of transcription by RNA polymerase II. It is located in the cytoplasm and nuclear body.","There is limited information available on the disease implications of CREBRF. However, recent studies have suggested that CREBRF may play a role in the development of obesity and metabolic disorders. Targeted drug discovery efforts for CREBRF are still in the early stages, and there are currently no drugs on the market that specifically target this gene. However, there are several drugs that target related pathways, such as those involved in regulating glucose and lipid metabolism, that may indirectly affect CREBRF activity. Examples of such drugs include metformin, which is used to treat type 2 diabetes, and statins, which are used to lower cholesterol levels. Further research is needed to fully understand the potential therapeutic implications of targeting CREBRF."
